"Protein","logFC","adj.P.Val"
"F2R002",5.16729188313001,0.0217809288551036
"ppa:PAS_chr4_0664",4.43448011410033,0.0217809288551036
"ppa:PAS_chr1-4_0668",5.45448603167646,0.0217809288551036
"ppa:PAS_chr2-2_0254",-3.42633036755681,0.0217809288551036
"ppa:PAS_chr1-1_0051",3.20892285907034,0.0217809288551036
"ppa:PAS_chr1-3_0119",3.46948899904286,0.0217809288551036
"ppa:PAS_chr3_0578",-3.22893655121481,0.0217809288551036
"ppa:PAS_chr3_0361",3.21167294090174,0.0398176914154207
"ppa:PAS_chr4_0303",2.73148440793788,0.0398176914154207
"ppa:PAS_chr4_0488",2.51070062424641,0.0446130858198556
"ppa:PAS_chr3_0141",-2.89301881099601,0.0446130858198556
"ppa:PAS_chr2-2_0338",-2.72022279072338,0.0446130858198556
"ppa:PAS_chr2-1_0489",-3.87368956447549,0.0446130858198556
"ppa:PAS_chr1-4_0198",-2.71945208605822,0.0446130858198556
"A0A1G4KQU5",5.49875221949369,0.0446130858198556
"ppa:PAS_chr2-1_0512",-3.25925988324152,0.0446130858198556
"ppa:PAS_chr1-4_0392",-2.23211852379231,0.0462023297231415
"ppa:PAS_chr3_0168",2.50533605147481,0.0467859363812339
"ppa:PAS_chr2-1_0472",1.98394662610896,0.0467859363812339
"ppa:PAS_chr1-4_0486",2.46539411089319,0.0467859363812339
"ppa:PAS_chr1-1_0176",-2.64898951327361,0.0467859363812339
"ppa:PAS_chr4_0052",-4.26084505930846,0.0467859363812339
"ppa:PAS_chr2-1_0716",-1.88577714954719,0.0467859363812339
"ppa:PAS_chr1-1_0388",-2.1145586656579,0.0467859363812339
"ppa:PAS_chr4_0063",-2.33013120798422,0.0467859363812339
"ppa:PAS_chr3_0156",2.37338424557621,0.0467859363812339
"ppa:PAS_chr1-3_0152",2.17308650550906,0.0467859363812339
"ppa:PAS_FragB_0039",1.84775803753173,0.0467859363812339
"ppa:PAS_chr3_0848",-3.75450829177124,0.0467859363812339
"ppa:PAS_chr3_1028",1.85445581219247,0.0467859363812339
"ppa:PAS_chr4_0201",-1.75225439319235,0.0467859363812339
"ppa:PAS_chr1-3_0108",-2.54542584840394,0.0493703196739381
"ppa:PAS_chr1-1_0139",1.97764788109812,0.0497844154771166
