"Protein","logFC","adj.P.Val"
"ppa:PAS_chr3_1071",11.1949866583206,0.00126299165467943
"F2QWE8",9.95482434252569,0.00126299165467943
"ppa:PAS_chr1-4_0699",8.39251640893464,0.00126299165467943
"ppa:PAS_chr3_1028",6.91813695895167,0.00205207418238015
"A0A1G4KQU5",8.8785891982761,0.00205207418238015
"ppa:PAS_chr4_0844",7.11986999625237,0.00205207418238015
"ppa:PAS_chr3_0099",7.32175873998061,0.00205207418238015
"ppa:PAS_chr4_0303",6.45350359011219,0.00253559649674325
"F2R002",6.52143457052119,0.00446871461935622
"ppa:PAS_chr2-2_0236",5.30332652166897,0.00473145726946451
"ppa:PAS_chr3_0867",6.99635700658154,0.00473145726946451
"ppa:PAS_chr2-2_0177",5.04831054323668,0.00473145726946451
"ppa:PAS_chr3_0841",5.68029936345117,0.00473145726946451
"ppa:PAS_chr1-4_0425",-4.65348160963539,0.00473145726946451
"ppa:PAS_chr2-1_0172",4.72592538697791,0.00473145726946451
"ppa:PAS_chr4_0113",4.09305351644625,0.00473145726946451
"ppa:PAS_chr4_0602",6.51452599295343,0.00473145726946451
"A0A1G4KQ11",4.4237229815231,0.00473145726946451
"ppa:PAS_chr2-1_0716",-3.63248248577417,0.00473145726946451
"ppa:PAS_chr2-2_0131",4.41546278019792,0.00473145726946451
"ppa:PAS_chr4_0390",4.44238241772191,0.00473145726946451
"ppa:PAS_chr2-1_0867",3.61523722110655,0.00489268836141953
"ppa:PAS_chr4_0759",3.93889398387797,0.00489268836141953
"ppa:PAS_chr2-1_0667",3.91865200210795,0.00489268836141953
"ppa:PAS_chr3_0361",6.1577256258794,0.00498915313835292
"ppa:PAS_chr2-1_0504",6.48351038221156,0.00498915313835292
"ppa:PAS_chr4_0147",-3.5807328737641,0.00498915313835292
"ppa:PAS_chr1-1_0339",4.02619393890474,0.00498915313835292
"ppa:PAS_chr4_0842",4.39022682313653,0.00498915313835292
"ppa:PAS_chr1-3_0198",-3.75476934221871,0.00501253711156433
"ppa:PAS_chr2-1_0749",3.99438610251164,0.00522525934699985
"ppa:PAS_chr1-4_0042",3.91452800228902,0.00528545356410674
"ppa:PAS_chr4_0470",3.51986379511292,0.0055373358566616
