"KEGG_ID","Pathways","PathwayName"
"ppa:PAS_chr3_1071",NA,NA
"F2QWE8",NA,NA
"ppa:PAS_chr1-4_0699",NA,NA
"ppa:PAS_chr3_1028","ppa00010","Glycolysis / Gluconeogenesis - Komagataella phaffii"
"ppa:PAS_chr3_1028","ppa00071","Fatty acid degradation - Komagataella phaffii"
"ppa:PAS_chr3_1028","ppa00350","Tyrosine metabolism - Komagataella phaffii"
"ppa:PAS_chr3_1028","ppa00620","Pyruvate metabolism - Komagataella phaffii"
"ppa:PAS_chr3_1028","ppa00680","Methane metabolism - Komagataella phaffii"
"ppa:PAS_chr3_1028","ppa01100","Metabolic pathways - Komagataella phaffii"
"ppa:PAS_chr3_1028","ppa01110","Biosynthesis of secondary metabolites - Komagataella phaffii"
"ppa:PAS_chr3_1028","ppa01200","Carbon metabolism - Komagataella phaffii"
"A0A1G4KQU5",NA,NA
"ppa:PAS_chr4_0844","ppa04141","Protein processing in endoplasmic reticulum - Komagataella phaffii"
"ppa:PAS_chr3_0099","ppa04146","Peroxisome - Komagataella phaffii"
"ppa:PAS_chr4_0303",NA,NA
"F2R002",NA,NA
"ppa:PAS_chr2-2_0236",NA,NA
"ppa:PAS_chr3_0867","ppa00680","Methane metabolism - Komagataella phaffii"
"ppa:PAS_chr3_0867","ppa01100","Metabolic pathways - Komagataella phaffii"
"ppa:PAS_chr3_0867","ppa01200","Carbon metabolism - Komagataella phaffii"
"ppa:PAS_chr2-2_0177",NA,NA
"ppa:PAS_chr3_0841","ppa00051","Fructose and mannose metabolism - Komagataella phaffii"
"ppa:PAS_chr3_0841","ppa00561","Glycerolipid metabolism - Komagataella phaffii"
"ppa:PAS_chr3_0841","ppa00680","Methane metabolism - Komagataella phaffii"
"ppa:PAS_chr3_0841","ppa01100","Metabolic pathways - Komagataella phaffii"
"ppa:PAS_chr3_0841","ppa01200","Carbon metabolism - Komagataella phaffii"
"ppa:PAS_chr1-4_0425","ppa00785","Lipoic acid metabolism - Komagataella phaffii"
"ppa:PAS_chr1-4_0425","ppa01100","Metabolic pathways - Komagataella phaffii"
"ppa:PAS_chr1-4_0425","ppa01240","Biosynthesis of cofactors - Komagataella phaffii"
"ppa:PAS_chr2-1_0172",NA,NA
"ppa:PAS_chr4_0113",NA,NA
"ppa:PAS_chr4_0602",NA,NA
"A0A1G4KQ11",NA,NA
"ppa:PAS_chr2-1_0716","ppa00260","Glycine, serine and threonine metabolism - Komagataella phaffii"
"ppa:PAS_chr2-1_0716","ppa00860","Porphyrin metabolism - Komagataella phaffii"
"ppa:PAS_chr2-1_0716","ppa01100","Metabolic pathways - Komagataella phaffii"
"ppa:PAS_chr2-1_0716","ppa01110","Biosynthesis of secondary metabolites - Komagataella phaffii"
"ppa:PAS_chr2-1_0716","ppa01240","Biosynthesis of cofactors - Komagataella phaffii"
"ppa:PAS_chr2-2_0131","ppa00380","Tryptophan metabolism - Komagataella phaffii"
"ppa:PAS_chr2-2_0131","ppa00630","Glyoxylate and dicarboxylate metabolism - Komagataella phaffii"
"ppa:PAS_chr2-2_0131","ppa01100","Metabolic pathways - Komagataella phaffii"
